Date and Time,global radiation (W/qm),precipitation [mm/day],rel hum[%],wind speed [m/s],temperature [°C]
11.02.2015 19:00:00,5,0,60.93,0.6657,22.11
11.02.2015 20:00:00,0.1666666667,0,68.86,0.7093333333,19.9533333333
11.02.2015 21:00:00,0,0,63.2233333333,2.2201666667,20.4233333333
11.02.2015 22:00:00,0,0,65.3133333333,2.5687666667,19.735
11.02.2015 23:00:00,0,0,67.1633333333,2.0514666667,19.265
12.02.2015 00:00:00,0,0,68.99,2.1772333333,18.9016666667
12.02.2015 01:00:00,0,0,69.2383333333,1.8408833333,18.8116666667
12.02.2015 02:00:00,0,0,72.1566666667,1.2856666667,18.115
12.02.2015 03:00:00,0,0,79.555,0.6067833333,16.555
12.02.2015 04:00:00,0,0,86.85,0.5576666667,14.5383333333
12.02.2015 05:00:00,0,0,84.9666666667,0.5777333333,15.2166666667
12.02.2015 06:00:00,20.1666666667,0,89.6166666667,0.5969833333,13.9816666667
12.02.2015 07:00:00,187.6666666667,0,74.22,0.6069,17.8733333333
12.02.2015 08:00:00,421.6666666667,0,66.77,0.8800166667,20.5033333333
12.02.2015 09:00:00,646.3333333333,0,59.88,1.3405,22.2216666667
12.02.2015 10:00:00,823.6666666667,0,53.4283333333,1.7024,24.0316666667
12.02.2015 11:00:00,933.8333333333,0,48.4683333333,1.65585,24.94
12.02.2015 12:00:00,923.5,0,44.8383333333,1.7483666667,26.37
12.02.2015 13:00:00,1012,0,43.8666666667,2.6416833333,26.9216666667
12.02.2015 14:00:00,973,0,44.8416666667,3.72995,26.78
12.02.2015 15:00:00,862.8333333333,0,47.51,4.6188333333,25.8216666667
12.02.2015 16:00:00,452.8333333333,0,52.725,4.6062333333,24.0683333333
12.02.2015 17:00:00,201.1666666667,0,57.18,4.08205,22.15
12.02.2015 18:00:00,46,0,59.255,2.5351666667,21.5966666667
12.02.2015 19:00:00,5.6666666667,0,65.9583333333,3.3370166667,19.985
12.02.2015 20:00:00,0,0,66.5733333333,2.0281333333,19.9583333333
12.02.2015 21:00:00,0,0,67.9583333333,1.7757833333,19.5566666667
12.02.2015 22:00:00,0,0,67.6866666667,1.8121833333,19.0683333333
12.02.2015 23:00:00,0,0,70.35,1.99465,18.7916666667
13.02.2015 00:00:00,0,0,78.8283333333,1.5412833333,17.1066666667
13.02.2015 01:00:00,0,0,81.8166666667,1.37445,16.585
13.02.2015 02:00:00,0,0,88.35,0.6048,15.045
13.02.2015 03:00:00,0,0,92.3666666667,0.3801,14.055
13.02.2015 04:00:00,0,0,93.4166666667,0.3719333333,13.67
13.02.2015 05:00:00,0,0,94.2666666667,0.3725166667,13.3366666667
13.02.2015 06:00:00,14.6666666667,0,93.9833333333,0.7936833333,13.7466666667
13.02.2015 07:00:00,179.8333333333,0,80.595,0.3241,17.1183333333
13.02.2015 08:00:00,411.8333333333,0,69.2033333333,0.4096166667,19.7166666667
13.02.2015 09:00:00,530,0,63.1616666667,0.7513333333,21.2716666667
13.02.2015 10:00:00,253,0,63.485,0.6413166667,21.1983333333
13.02.2015 11:00:00,555.3333333333,0,70.785,1.8208166667,21.1233333333
13.02.2015 12:00:00,423.3333333333,0,66.0816666667,2.0588166667,21.535
13.02.2015 13:00:00,593.6666666667,0,59.525,1.2567333333,23.0983333333
13.02.2015 14:00:00,535.3333333333,0,57.3133333333,2.0862333333,23.9166666667
13.02.2015 15:00:00,568.3333333333,0,58.3916666667,2.87035,23.4033333333
13.02.2015 16:00:00,171.3333333333,0,59.3383333333,1.7145333333,22.4733333333
13.02.2015 17:00:00,160.1666666667,0,68.9216666667,3.5877333333,21.3216666667
13.02.2015 18:00:00,125.1666666667,0,66.3583333333,1.9818166667,21.4333333333
13.02.2015 19:00:00,38.6666666667,0,70.23,1.97435,20.7833333333
13.02.2015 20:00:00,0.3333333333,0,78.3166666667,0.4186,18.67
13.02.2015 21:00:00,0,0,79.4066666667,1.1502166667,18.0216666667
13.02.2015 22:00:00,0,0,84.0783333333,0.4382,17.2833333333
13.02.2015 23:00:00,0,0,82.2633333333,1.05455,16.9116666667
14.02.2015 00:00:00,0,0,76.065,1.309,18.5683333333
14.02.2015 01:00:00,0,0,80.02,0.5300166667,18.1683333333
14.02.2015 02:00:00,0,0,82.2666666667,0.39585,17.7416666667
14.02.2015 03:00:00,0,0,86.1333333333,0.1978666667,17.3916666667
14.02.2015 04:00:00,0,0,87.25,0.7929833333,17.0883333333
14.02.2015 05:00:00,0,0,85.4833333333,1.8372666667,18.07
14.02.2015 06:00:00,9.8333333333,0,81.6933333333,1.9658333333,18.2366666667
